date,sent_formality,sent_freq,rec_formality,rec_freq
2012-04-12,80.37383270263672,107,80.0,75
2012-04-16,81.4285659790039,70,81.01265716552734,79
2012-04-20,92.68292999267578,41,78.94737243652344,76
2012-05-13,85.71428680419922,21,71.42857360839844,28
2012-08-19,71.875,96,69.38775634765625,49
2012-08-29,82.5,40,78.82353210449219,85
2012-09-10,67.74193572998047,62,76.66666412353516,30
2012-09-11,8.771929740905762,57,76.66666412353516,0
2012-09-16,8.771929740905762,1,76.66666412353516,0
2012-09-18,8.771929740905762,1,76.66666412353516,0
2012-09-23,75.51020050048828,49,77.41934967041016,31
2012-10-31,72.64957427978516,117,76.72413635253906,116
2012-11-01,72.64957427978516,9,83.67346954345703,49
2012-11-02,80.95238494873047,21,86.1111068725586,36
2012-11-05,80.95238494873047,9,86.1111068725586,0
2012-11-13,74.43609619140625,133,73.72881317138672,236
2012-11-18,74.712646484375,87,68.18181610107422,110
2012-11-25,64.15093994140625,318,65.70512390136719,312
2012-11-28,68.75,96,74.19355010986328,93
2012-12-01,52.0,75,77.51937866210938,129
2012-12-07,52.0,2,77.51937866210938,0
2012-12-08,52.0,2,77.51937866210938,0
2012-12-10,52.0,1,77.51937866210938,1
2012-12-12,73.6111068725586,72,74.5614013671875,114
2012-12-13,70.90908813476562,55,71.73912811279297,46
2012-12-23,70.90908813476562,3,71.73912811279297,6
2013-01-17,70.90908813476562,3,71.73912811279297,0
2013-02-06,70.90908813476562,0,71.73912811279297,8
2013-02-10,70.28985595703125,138,79.20792388916016,101
2013-02-11,65.0,20,81.48148345947266,54
2013-02-12,70.96774291992188,31,81.48148345947266,0
2013-02-13,70.96774291992188,9,81.81818389892578,33
2013-02-15,66.66667175292969,12,84.21052551269531,38
2013-02-17,66.66667175292969,6,57.142860412597656,14
2013-02-18,67.85713958740234,56,76.22950744628906,122
2013-02-28,84.70588684082031,85,72.54901885986328,51
2013-03-01,57.142860412597656,14,82.85714721679688,70
2013-03-03,78.04877471923828,41,70.0,40
2013-03-12,68.5714340209961,35,83.33332824707031,12
2013-03-14,52.173912048339844,23,72.0,25
2013-03-29,71.35417175292969,192,70.0,130
2013-04-07,64.28571319580078,14,81.39534759521484,43
2013-04-09,72.04301452636719,93,51.40187072753906,107
2013-04-11,79.4871826171875,39,64.51612854003906,31
2013-04-17,70.0,10,80.48780822753906,82
2013-04-18,70.0,8,80.48780822753906,0
2013-08-01,78.26087188720703,23,64.0,25
2013-08-03,78.94737243652344,19,80.95238494873047,21
2013-08-04,78.94737243652344,0,74.19355010986328,93
2013-10-14,80.0,10,62.5,16
2013-10-21,80.0,20,75.0,16
2013-10-29,69.38775634765625,49,78.78787994384766,66
2013-12-18,72.47706604003906,109,83.69564819335938,92
2013-12-19,50.0,14,83.69564819335938,5
