date,sent_formality,sent_freq,rec_formality,rec_freq
2012-03-20,55.55555725097656,18,53.333335876464844,15
2012-03-23,55.55555725097656,36,73.17073059082031,41
2012-03-27,64.55696105957031,79,67.74193572998047,31
2012-03-30,74.71910095214844,178,83.33332824707031,102
2012-04-07,74.71910095214844,2,83.33332824707031,1
2012-04-12,74.71910095214844,1,83.33332824707031,0
2012-04-18,27.272727966308594,11,83.33332824707031,9
2012-04-24,77.02703094482422,74,70.83332824707031,24
2012-04-25,73.046875,256,65.68627166748047,102
2012-05-01,79.16667175292969,24,65.68627166748047,6
2012-05-08,72.85713958740234,70,83.33332824707031,18
2012-05-17,50.0,26,68.75,16
2012-05-20,72.97296905517578,37,50.0,30
2012-05-21,68.0,50,65.0,20
2012-06-10,70.0,10,65.0,1
2012-08-10,62.5,16,65.0,20
2012-09-11,56.896549224853516,58,40.0,15
2012-09-13,56.896549224853516,7,40.0,0
2012-09-14,74.3859634399414,285,72.08333587646484,240
2012-09-17,75.89286041259766,112,71.21212005615234,66
2012-10-02,71.92982482910156,114,81.81818389892578,66
2012-10-08,65.38461303710938,26,75.0,28
2012-11-14,59.09090805053711,110,74.5762710571289,118
2012-11-16,77.04917907714844,61,78.94737243652344,19
2012-11-20,69.56521606445312,23,78.94737243652344,4
2012-12-06,54.54545593261719,11,72.7272720336914,33
2012-12-10,60.655738830566406,244,80.1204833984375,166
2012-12-22,60.655738830566406,7,80.1204833984375,0
2012-12-29,75.0,12,80.1204833984375,2
2013-01-05,63.79310607910156,58,76.31578826904297,38
2013-01-26,70.45454406738281,44,69.49152374267578,59
2013-01-31,69.67742156982422,155,78.70370483398438,108
2013-02-10,75.0,44,78.70370483398438,8
2013-02-11,90.0,10,78.70370483398438,1
2013-02-14,90.0,9,68.75,16
2013-02-20,90.0,5,68.75,2
2013-02-21,79.31034851074219,29,46.153846740722656,13
2013-03-18,77.39130401611328,115,61.904762268066406,21
2013-03-24,77.39130401611328,6,61.904762268066406,1
2013-04-16,77.39130401611328,5,61.904762268066406,5
2013-04-18,58.33333206176758,24,69.69696807861328,33
2013-04-23,58.33333206176758,5,69.69696807861328,0
2013-04-24,69.23077392578125,13,69.69696807861328,3
2013-04-25,58.82353210449219,17,69.69696807861328,9
2013-05-14,58.82353210449219,9,69.23077392578125,13
2013-05-23,50.0,10,69.23077392578125,5
2013-05-27,50.0,4,69.23077392578125,6
2013-06-13,50.0,8,69.23077392578125,2
2013-07-05,50.0,1,69.23077392578125,0
2013-07-06,50.0,1,69.23077392578125,0
2013-07-16,50.0,4,69.23077392578125,0
2013-07-17,81.25,32,69.23077392578125,2
2013-08-21,73.91304016113281,23,81.25,16
