date,sent_formality,sent_freq,rec_formality,rec_freq
2012-01-06,75.49530792236328,959,75.1152114868164,651
2012-01-09,75.36764526367188,272,75.64469909667969,349
2012-01-14,73.47328186035156,524,68.78048706054688,410
2012-02-04,68.94737243652344,190,74.59458923339844,185
2012-02-06,73.2484130859375,157,66.44737243652344,152
2012-02-14,73.2484130859375,5,66.44737243652344,0
2012-02-15,69.3827133178711,405,70.18970489501953,369
2012-02-16,76.92308044433594,26,87.8787841796875,33
2012-02-17,76.92308044433594,13,87.8787841796875,8
2012-02-18,75.64102172851562,78,86.84210968017578,38
2012-02-21,75.64102172851562,7,86.84210968017578,0
2012-02-25,46.66666793823242,15,76.31578826904297,38
2012-02-28,81.25,16,76.31578826904297,2
2012-02-29,81.25,0,76.31578826904297,2
2012-03-01,76.92308044433594,39,76.47058868408203,68
2012-03-02,70.0,10,80.0,25
2012-03-03,75.55555725097656,45,66.0,50
2012-03-05,75.0,28,63.6363639831543,11
2012-03-17,72.56637573242188,113,69.56521606445312,92
2012-03-20,72.56637573242188,3,83.33332824707031,24
2012-03-21,78.7330322265625,221,69.36026763916016,297
2012-04-05,72.28915405273438,166,76.19047546386719,147
2012-04-07,78.57142639160156,14,88.46153259277344,26
2012-04-08,78.57142639160156,3,73.91304016113281,23
2012-04-09,89.36170196533203,47,79.36508178710938,63
2012-04-10,72.05882263183594,204,78.03738403320312,214
2012-04-11,74.13793182373047,58,78.37837982177734,74
2012-04-13,58.06451416015625,31,80.0,40
2012-04-25,58.06451416015625,1,80.0,0
2012-05-08,67.56756591796875,37,84.61538696289062,39
2012-05-20,57.57575607299805,66,63.013694763183594,73
2012-05-21,57.57575607299805,0,63.013694763183594,6
2012-05-26,73.07691955566406,104,75.1479263305664,169
2012-05-29,74.16974639892578,271,75.87939453125,398
2012-06-04,72.22222137451172,36,77.08332824707031,48
2012-06-17,75.86206817626953,29,70.0,10
2012-06-18,70.29703521728516,101,75.19999694824219,125
2012-06-25,70.29703521728516,5,83.33332824707031,12
2012-06-28,70.29703521728516,1,83.33332824707031,4
2012-07-03,70.29703521728516,0,80.0,10
2012-07-04,52.59740447998047,154,69.13580322265625,162
2012-07-08,71.875,32,65.0,40
2012-07-09,71.875,6,65.0,3
2012-07-16,71.42857360839844,28,82.85714721679688,35
2012-07-18,66.66667175292969,36,66.66667175292969,66
2012-07-19,66.66667175292969,3,66.66667175292969,0
2012-07-21,55.17241287231445,29,80.0,55
2012-07-23,66.66667175292969,12,80.0,3
2012-08-27,67.54386138916016,114,79.59183502197266,147
2012-08-28,72.7272720336914,11,86.66666412353516,15
2012-08-29,72.68518829345703,216,71.98697662353516,307
2012-09-02,74.19355010986328,31,83.33332824707031,18
2012-09-03,52.38095474243164,21,80.28169250488281,71
2012-09-04,30.000001907348633,10,80.28169250488281,1
2012-09-06,80.0,10,78.57142639160156,28
2012-09-08,68.42105102539062,133,79.90430450439453,209
2012-09-16,61.5384635925293,39,78.33333587646484,60
2012-09-17,83.33332824707031,12,46.66666793823242,15
2012-09-24,65.18987274169922,158,72.28915405273438,166
2012-09-29,69.56521606445312,138,77.2727279663086,110
2012-09-30,72.22222137451172,36,82.75862121582031,58
2012-10-01,57.142860412597656,21,66.66667175292969,24
2012-10-02,72.88135528564453,59,91.07142639160156,56
2012-10-03,75.0,112,70.86614227294922,127
2012-10-04,75.0,0,81.81818389892578,11
2012-10-07,77.77777862548828,27,65.78947448730469,38
2012-10-13,69.81131744384766,53,75.55555725097656,45
2012-10-14,77.12418365478516,153,79.27928161621094,111
2012-10-18,66.36363983154297,110,78.80794525146484,151
2012-10-20,70.0,40,83.01886749267578,53
2012-10-21,77.57575225830078,165,80.48780822753906,123
2012-10-22,65.11627960205078,43,77.2727279663086,22
2012-10-23,83.14606475830078,89,84.82142639160156,112
2012-10-25,83.14606475830078,7,83.33332824707031,24
2012-10-26,81.48148345947266,54,75.24752807617188,101
2012-10-27,72.7272720336914,11,76.47058868408203,34
2012-10-30,73.7430191040039,179,83.00653839111328,153
2012-11-12,77.3809585571289,168,75.49019622802734,102
2012-11-13,71.60493469238281,162,74.49664306640625,149
2012-11-15,71.42857360839844,14,72.09302520751953,43
2012-11-16,71.42857360839844,2,72.09302520751953,0
2012-11-20,71.42857360839844,7,72.09302520751953,0
2012-11-21,48.3870964050293,31,74.28571319580078,35
2012-11-22,48.3870964050293,7,71.42857360839844,21
2012-11-23,56.52173614501953,23,82.92682647705078,41
2012-11-24,72.78911590576172,147,73.14814758300781,216
2012-11-25,72.78911590576172,0,73.14814758300781,7
2012-11-26,60.60606384277344,66,78.75,80
2012-11-28,60.60606384277344,1,94.73684692382812,38
2012-11-29,64.28571319580078,70,83.33332824707031,90
2012-11-30,64.28571319580078,3,45.45454788208008,11
2012-12-02,76.20818328857422,269,76.60550689697266,218
2012-12-03,80.15872955322266,126,69.15887451171875,107
2012-12-04,80.95238494873047,84,70.93022918701172,86
2012-12-06,57.894737243652344,19,58.82353210449219,34
2012-12-07,57.142860412597656,42,72.60273742675781,73
2012-12-10,70.3125,64,61.3636360168457,44
2012-12-13,68.18181610107422,22,75.0,16
2012-12-15,68.18181610107422,8,80.0,30
2012-12-17,68.18181610107422,6,50.0,12
2012-12-18,68.18181610107422,1,50.0,0
2012-12-24,68.18181610107422,4,23.076923370361328,13
2012-12-29,63.6363639831543,44,70.83332824707031,48
2013-01-03,63.6363639831543,5,70.83332824707031,5
2013-01-04,63.15789031982422,19,60.000003814697266,15
2013-01-05,72.78911590576172,147,67.36842346191406,95
2013-01-06,78.78787994384766,33,66.66667175292969,30
2013-01-07,65.57376861572266,61,71.42857360839844,35
2013-01-08,72.94117736816406,85,65.57376861572266,61
2013-01-09,72.94117736816406,0,65.57376861572266,1
2013-01-14,72.7272720336914,33,70.0,10
2013-01-15,41.666664123535156,12,75.0,24
2013-01-18,61.325965881347656,181,73.79912567138672,229
2013-01-19,58.490570068359375,53,70.5882339477539,51
2013-01-20,57.142860412597656,119,76.582275390625,158
2013-01-21,47.05882263183594,34,71.79487609863281,39
2013-01-22,77.77777862548828,18,53.333335876464844,15
2013-01-23,60.76555252075195,209,77.64350128173828,331
2013-01-24,67.64705657958984,34,75.0,36
2013-01-25,76.92308044433594,39,80.0,30
2013-01-26,60.000003814697266,30,72.97296905517578,37
2013-01-27,64.24242401123047,165,77.35848999023438,159
2013-01-28,70.14925384521484,134,77.39130401611328,115
2013-01-29,65.0,40,75.86206817626953,29
2013-01-31,72.15190124511719,79,82.35294342041016,68
2013-02-01,65.05376434326172,186,79.89691162109375,194
2013-02-02,73.80952453613281,42,85.0,100
2013-02-03,68.18181610107422,176,73.68421173095703,228
2013-02-05,64.86486053466797,111,70.0,100
2013-02-06,62.71186447143555,59,72.94117736816406,85
2013-02-08,76.0,25,70.0,10
2013-02-10,75.47770690917969,314,85.18518829345703,81
2013-02-11,71.46282958984375,417,77.6119384765625,335
2013-02-13,60.000003814697266,20,77.6119384765625,7
2013-02-14,64.70588684082031,136,81.22065734863281,213
2013-02-15,62.71186447143555,59,75.51020050048828,49
2013-02-16,56.0,50,63.82978439331055,47
2013-02-17,73.4299545288086,207,72.60273742675781,146
